name,location,cuisine,top_dishes,price_for_2,dining_rating,dining_rating_count,delivery_rating,delivery_rating_count,features,price_category,cuisine_list,has_dine_in,has_delivery
The Good Bowl,Porur,"['North Indian', ' Biryani', ' Italian']","['Rice Bowl', ' Chicken Bowl', ' Dal Makhani']",500,0.0,0,3.9,2650,['Home Delivery'],Affordable,"['North Indian', ' Biryani', ' Italian']",0,1
Bharath Restaurant,"Gokulam Park Hotel, Ashok Nagar","['South Indian', ' Seafood', ' North Indian', ' Chinese']",['Paratha'],700,3.5,103,3.9,436,"['Breakfast', 'Home Delivery', 'Wheelchair Accessible', 'Indoor Seating', 'Table Reservation Not Required', 'Buffet']",Mid Range,"['South Indian', ' Seafood', ' North Indian', ' Chinese']",1,1
The Pasta,Chromepet,['Fast Food'],Invalid,250,2.8,125,3.0,1308,"['Home Delivery', 'Indoor Seating']",Budget,['Fast Food'],1,1
AL Maas Biryani,Nungambakkam,"['Biryani', ' North Indian', ' Chinese', ' Beverages']","['Chicken Biryani', ' Mutton Biryani', ' Crunchy Chicken', ' Pizza', ' Tomato Rice']",400,3.8,113,3.8,4763,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']",Affordable,"['Biryani', ' North Indian', ' Chinese', ' Beverages']",1,1
Kasivinayaga Mess,Triplicane,['South Indian'],['Curd Rice'],200,4.0,120,0.0,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']",Budget,['South Indian'],1,0
Nite Bite,Saidapet,"['Chinese', ' Seafood', ' North Indian', ' Biryani']",['Biryani'],450,3.6,119,4.3,1429,"['Home Delivery', 'Indoor Seating', 'Wifi']",Affordable,"['Chinese', ' Seafood', ' North Indian', ' Biryani']",1,1
Hotel Aboorvam,Vadapalani,"['South Indian', ' Street Food', ' Chinese']",Invalid,300,2.8,64,3.8,2141,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']",Budget,"['South Indian', ' Street Food', ' Chinese']",1,1
Motel Highway Adhinath,Poonamalle,"['South Indian', ' North Indian']","['Filtered Coffee', ' Pongal', ' Vada']",350,3.7,95,0.0,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Free Parking']",Affordable,"['South Indian', ' North Indian']",1,0
Samosa Treat,Medavakkam,"['Street Food', ' Fast Food']",Invalid,150,3.8,84,3.8,795,"['Home Delivery', 'Indoor Seating']",Budget,"['Street Food', ' Fast Food']",1,1
Raintree -Taj Connemara,Anna Salai,"['Chettinad', ' South Indian']","['Paratha', ' Appam', ' Thali', ' Chocolate Mousse Cake', ' Idiyappam', ' Prawn', ' Elaneer Payasam']",2800,4.1,108,0.0,0,"['Wheelchair Accessible', 'Valet Parking Available', 'Indoor Seating', '4/5 Star', 'Luxury Dining', 'Wifi', 'Outdoor Seating', 'Table booking recommended']",Premium,"['Chettinad', ' South Indian']",1,0
Al Faham,Vepery,"['North Indian', ' Chinese', ' BBQ', ' Mughlai', ' Biryani', ' Seafood']",Invalid,600,3.1,124,3.5,5598,"['Home Delivery', 'Indoor Seating']",Affordable,"['North Indian', ' Chinese', ' BBQ', ' Mughlai', ' Biryani', ' Seafood']",1,1
