Name,location,cuisine,top dishes,price for 2,dining rating,dining rating count,delivery rating,delivery rating count,Features,has_dine_in,has_delivery,price category,cuisine_list
Sangeetha Veg Restaurant,Parrys,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Vada Sambar', ' Butter Naan', ' Panneer Butter Masala', ' Tomato Soup']",650,4.1,206,4.1,1529,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,Chinese
Sangeetha Veg Restaurant,Parrys,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Vada Sambar', ' Butter Naan', ' Panneer Butter Masala', ' Tomato Soup']",650,4.1,206,4.1,1529,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,Fast Food
Sangeetha Veg Restaurant,Parrys,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Vada Sambar', ' Butter Naan', ' Panneer Butter Masala', ' Tomato Soup']",650,4.1,206,4.1,1529,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,Chettinad
Sangeetha Veg Restaurant,Parrys,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Vada Sambar', ' Butter Naan', ' Panneer Butter Masala', ' Tomato Soup']",650,4.1,206,4.1,1529,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,Mughlai
Sangeetha Veg Restaurant,Poonamalle,"['North Indian', ' Chinese']","['Fried Rice', ' Ghee Masala Dosa', ' Naan', ' Curd Rice']",500,3.9,175,4.1,2052,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Serves Jain Food', 'Indoor Seating', 'Table reservation required']",1,1,Affordable,North Indian
Sangeetha Veg Restaurant,Poonamalle,"['North Indian', ' Chinese']","['Fried Rice', ' Ghee Masala Dosa', ' Naan', ' Curd Rice']",500,3.9,175,4.1,2052,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Serves Jain Food', 'Indoor Seating', 'Table reservation required']",1,1,Affordable,Chinese
Sangeetha Veg Restaurant,Teynampet,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']","['Filtered Coffee', ' Pongal']",500,3.2,162,4.3,4195,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table Reservation Not Required', 'Catering Available']",1,1,Affordable,South Indian
Sangeetha Veg Restaurant,Teynampet,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']","['Filtered Coffee', ' Pongal']",500,3.2,162,4.3,4195,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table Reservation Not Required', 'Catering Available']",1,1,Affordable,North Indian
Sangeetha Veg Restaurant,Teynampet,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']","['Filtered Coffee', ' Pongal']",500,3.2,162,4.3,4195,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table Reservation Not Required', 'Catering Available']",1,1,Affordable,Chinese
Sangeetha Veg Restaurant,Teynampet,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']","['Filtered Coffee', ' Pongal']",500,3.2,162,4.3,4195,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table Reservation Not Required', 'Catering Available']",1,1,Affordable,Fast Food
Sangeetha OKadey's,Ra Puram,"['South Indian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']","['Paratha', ' Pav Bhaji', ' Coffee']",800,3.7,129,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,0,Mid Range,South Indian
Sangeetha OKadey's,Ra Puram,"['South Indian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']","['Paratha', ' Pav Bhaji', ' Coffee']",800,3.7,129,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,0,Mid Range,North Indian
Sangeetha OKadey's,Ra Puram,"['South Indian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']","['Paratha', ' Pav Bhaji', ' Coffee']",800,3.7,129,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,0,Mid Range,Chinese
